condition,epoch,window,observable,k,metric,value
control,100,prep_vs_exec,orthogonality,6,mean_angle_deg,28.932141355530323
control,100,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
control,100,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
control,100,prep_vs_exec,orthogonality,6,z_vs_null,-105.27145411267666
control,100,prep,cv_stability,6,fold_subspace_angle_deg,41.22646496740794
control,100,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
control,100,exec,cv_stability,6,fold_subspace_angle_deg,31.70501707441299
control,100,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
frozen,0,prep,pr,,participation_ratio,8.903391483833596
frozen,0,exec,pr,,participation_ratio,6.148001003460166
frozen,0,exec,jpca,4,r2_skew,0.0009325175531063046
frozen,0,exec,jpca,4,r2_full,0.0063896149866853325
frozen,0,exec,jpca,4,omega_rad_per_bin,0.0011319815548856322
frozen,0,exec,jpca,4,freq_hz,0.0180160459948898
frozen,0,exec,jpca,4,direction_consistency,0.875
frozen,0,exec,jpca,4,mean_tangling,0.10026304998832024
frozen,0,exec,jpca,4,shuffle_r2_mean,0.0037664242415989257
frozen,0,exec,jpca,4,shuffle_r2_std,0.0031228052863999404
frozen,0,exec,jpca,4,r2_above_shuffle,-0.002833906688492621
frozen,0,exec,jpca,6,r2_skew,0.0020969276623351574
frozen,0,exec,jpca,6,r2_full,0.008357725585133924
frozen,0,exec,jpca,6,omega_rad_per_bin,0.002171543819202995
frozen,0,exec,jpca,6,freq_hz,0.034561193296680975
frozen,0,exec,jpca,6,direction_consistency,1.0
frozen,0,exec,jpca,6,mean_tangling,0.10074055198766663
frozen,0,exec,jpca,6,shuffle_r2_mean,0.01575559208322088
frozen,0,exec,jpca,6,shuffle_r2_std,0.008455054438770388
frozen,0,exec,jpca,6,r2_above_shuffle,-0.013658664420885723
frozen,0,exec,jpca,10,r2_skew,0.028903296269313317
frozen,0,exec,jpca,10,r2_full,0.043226708270217795
frozen,0,exec,jpca,10,omega_rad_per_bin,0.02754835122732243
frozen,0,exec,jpca,10,freq_hz,0.43844562718600466
frozen,0,exec,jpca,10,direction_consistency,0.875
frozen,0,exec,jpca,10,mean_tangling,0.08932684066778589
frozen,0,exec,jpca,10,shuffle_r2_mean,0.07436125881595312
frozen,0,exec,jpca,10,shuffle_r2_std,0.020605225553194703
frozen,0,exec,jpca,10,r2_above_shuffle,-0.04545796254663981
frozen,0,prep_vs_exec,orthogonality,6,mean_angle_deg,32.858755240768154
frozen,0,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
frozen,0,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
frozen,0,prep_vs_exec,orthogonality,6,z_vs_null,-98.00811072335304
frozen,0,prep,cv_stability,6,fold_subspace_angle_deg,45.35716887986772
frozen,0,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
frozen,0,exec,cv_stability,6,fold_subspace_angle_deg,34.398992573162694
frozen,0,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
frozen,50,prep,pr,,participation_ratio,8.91422021059614
frozen,50,exec,pr,,participation_ratio,6.09107927474046
frozen,50,exec,jpca,4,r2_skew,0.0024371306423583983
frozen,50,exec,jpca,4,r2_full,0.00971545834278198
frozen,50,exec,jpca,4,omega_rad_per_bin,0.0022121871874492176
frozen,50,exec,jpca,4,freq_hz,0.035208052592710024
frozen,50,exec,jpca,4,direction_consistency,0.625
frozen,50,exec,jpca,4,mean_tangling,0.08181205863586531
frozen,50,exec,jpca,4,shuffle_r2_mean,0.004440049048110617
frozen,50,exec,jpca,4,shuffle_r2_std,0.0016587223535463884
frozen,50,exec,jpca,4,r2_above_shuffle,-0.0020029184057522185
frozen,50,exec,jpca,6,r2_skew,0.0027431308840800694
frozen,50,exec,jpca,6,r2_full,0.010635251881445318
frozen,50,exec,jpca,6,omega_rad_per_bin,0.002745492181666282
frozen,50,exec,jpca,6,freq_hz,0.04369586519323407
frozen,50,exec,jpca,6,direction_consistency,0.625
frozen,50,exec,jpca,6,mean_tangling,0.08369722974538596
frozen,50,exec,jpca,6,shuffle_r2_mean,0.015490598935663891
frozen,50,exec,jpca,6,shuffle_r2_std,0.005144296122967788
frozen,50,exec,jpca,6,r2_above_shuffle,-0.012747468051583822
frozen,50,exec,jpca,10,r2_skew,0.05212141279165661
frozen,50,exec,jpca,10,r2_full,0.06681992951881088
frozen,50,exec,jpca,10,omega_rad_per_bin,0.06029715257733578
frozen,50,exec,jpca,10,freq_hz,0.9596589887049207
frozen,50,exec,jpca,10,direction_consistency,0.875
frozen,50,exec,jpca,10,mean_tangling,0.07452827006941472
frozen,50,exec,jpca,10,shuffle_r2_mean,0.08171990064093446
frozen,50,exec,jpca,10,shuffle_r2_std,0.023272620846812912
