label,rho0,eta_istdp,tau_istdp,ee_plasticity,epoch,pr_exec,pr_prep,ortho_deg,jpca_above_shuffle
rho1.5_eta0.5_tau40_eeoff,1.5,5e-13,0.04,False,50,52.9530821948092,14.201581494863635,83.94901728909625,-0.020457058705246528
rho1.5_eta0.5_tau40_eeoff,1.5,5e-13,0.04,False,100,53.150170349598355,17.38780912533461,85.3147062835879,0.004055022304875977
rho1.5_eta0.5_tau40_eeon,1.5,5e-13,0.04,True,0,52.57661983155891,10.928858653669748,84.05111260668102,0.024215652254674883
rho1.5_eta0.5_tau40_eeon,1.5,5e-13,0.04,True,50,53.3591063540741,14.1966625756217,85.42618941848562,0.03064103450618974
rho1.5_eta0.5_tau40_eeon,1.5,5e-13,0.04,True,100,53.52816183486612,17.168303529265096,84.41775635503146,0.013926245811717586
rho1.5_eta1_tau10_eeoff,1.5,1e-12,0.01,False,0,52.68086546911927,9.905037082720247,82.98286019675251,-0.013862305307424092
rho1.5_eta1_tau10_eeoff,1.5,1e-12,0.01,False,50,52.99315546933243,12.361032798357174,84.33571371672419,0.03803388080483072
rho1.5_eta1_tau10_eeoff,1.5,1e-12,0.01,False,100,53.21737835001383,13.810003595520108,83.0790124059983,-0.04768587768677797
rho1.5_eta1_tau10_eeon,1.5,1e-12,0.01,True,0,52.68086546911927,9.905037082720247,82.98286019675251,-0.013862305307424092
rho1.5_eta1_tau10_eeon,1.5,1e-12,0.01,True,50,53.009315888874724,12.131798099967588,82.93774416732104,-0.00016994359879343723
rho1.5_eta1_tau10_eeon,1.5,1e-12,0.01,True,100,53.23100178857022,13.384591151031513,83.6150595583103,0.006736247170592874
rho1.5_eta1_tau20_eeoff,1.5,1e-12,0.02,False,0,53.3374019639808,11.125475203515512,84.67876938630734,-0.007006642855445583
rho1.5_eta1_tau20_eeoff,1.5,1e-12,0.02,False,50,52.88795733618223,14.07348060431168,84.32522970459326,-0.0172956375434941
rho1.5_eta1_tau20_eeoff,1.5,1e-12,0.02,False,100,53.40677379363271,17.024433713611188,84.07311792919437,0.0005679137268508605
rho1.5_eta1_tau20_eeon,1.5,1e-12,0.02,True,0,53.3374019639808,11.125475203515512,84.67876938630734,-0.007006642855445583
rho1.5_eta1_tau20_eeon,1.5,1e-12,0.02,True,50,52.94412970817387,14.261915843928525,84.95921151020629,0.04848391735287541
rho1.5_eta1_tau20_eeon,1.5,1e-12,0.02,True,100,53.35739378852854,17.249890918320684,84.54202270833385,-0.030937586773020234
rho1.5_eta1_tau40_eeoff,1.5,1e-12,0.04,False,0,52.780462849024616,12.173124504691636,84.17068616965743,-0.01717546774671387
rho1.5_eta1_tau40_eeoff,1.5,1e-12,0.04,False,50,53.42946874340275,17.710897580014947,84.66942968949682,0.011427485017295694
rho1.5_eta1_tau40_eeoff,1.5,1e-12,0.04,False,100,53.79345552769002,23.693586353144166,85.71294346713141,-0.06245034707883776
rho1.5_eta1_tau40_eeon,1.5,1e-12,0.04,True,0,52.780462849024616,12.173124504691636,84.17068616965743,-0.01717546774671387
rho1.5_eta1_tau40_eeon,1.5,1e-12,0.04,True,50,53.37879071616364,17.628644259839962,85.0009416314647,0.05125652142069501
rho1.5_eta1_tau40_eeon,1.5,1e-12,0.04,True,100,53.6827784227083,23.502404768345407,84.75458347204581,0.011645726812858331
rho1.5_eta2_tau10_eeoff,1.5,2e-12,0.01,False,0,52.487684909061386,10.809856031529762,84.78369817632608,-0.007665464979139697
rho1.5_eta2_tau10_eeoff,1.5,2e-12,0.01,False,50,52.536366282518514,14.168113615364785,84.3831714887996,-0.028152230564188044
rho1.5_eta2_tau10_eeoff,1.5,2e-12,0.01,False,100,53.470162951046504,17.28150485605253,84.97752346966404,-0.03417283607496341
rho1.5_eta2_tau10_eeon,1.5,2e-12,0.01,True,0,52.487684909061386,10.809856031529762,84.78369817632608,-0.007665464979139697
rho1.5_eta2_tau10_eeon,1.5,2e-12,0.01,True,50,53.650686288634944,14.149665299030627,84.60885550536078,-0.031474054377777436
rho1.5_eta2_tau10_eeon,1.5,2e-12,0.01,True,100,53.2147361024881,16.360854795633806,84.39645103636141,0.04422052344936381
rho1.5_eta2_tau20_eeoff,1.5,2e-12,0.02,False,0,52.84897588097474,12.211374836498171,84.9459637562419,-0.01600882449894643
rho1.5_eta2_tau20_eeoff,1.5,2e-12,0.02,False,50,53.02079566613922,18.05494149220141,84.25246286366921,-0.006270440562470947
rho1.5_eta2_tau20_eeoff,1.5,2e-12,0.02,False,100,53.570787589764734,22.27786493269758,84.85939784194738,0.0020466860930167946
