condition,epoch,window,observable,k,metric,value
control,100,prep_vs_exec,orthogonality,6,mean_angle_deg,30.266012748336095
control,100,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
control,100,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
control,100,prep_vs_exec,orthogonality,6,z_vs_null,-102.8040951498901
control,100,prep,cv_stability,6,fold_subspace_angle_deg,42.171681121665635
control,100,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
control,100,exec,cv_stability,6,fold_subspace_angle_deg,31.989672011399627
control,100,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
seeded,0,prep,pr,,participation_ratio,8.903391483833596
seeded,0,exec,pr,,participation_ratio,6.148001003460166
seeded,0,exec,jpca,4,r2_skew,0.0009325175531063046
seeded,0,exec,jpca,4,r2_full,0.0063896149866853325
seeded,0,exec,jpca,4,omega_rad_per_bin,0.0011319815548856322
seeded,0,exec,jpca,4,freq_hz,0.0180160459948898
seeded,0,exec,jpca,4,direction_consistency,0.875
seeded,0,exec,jpca,4,mean_tangling,0.10026304998832024
seeded,0,exec,jpca,4,shuffle_r2_mean,0.0037664242415989257
seeded,0,exec,jpca,4,shuffle_r2_std,0.0031228052863999404
seeded,0,exec,jpca,4,r2_above_shuffle,-0.002833906688492621
seeded,0,exec,jpca,6,r2_skew,0.0020969276623351574
seeded,0,exec,jpca,6,r2_full,0.008357725585133924
seeded,0,exec,jpca,6,omega_rad_per_bin,0.002171543819202995
seeded,0,exec,jpca,6,freq_hz,0.034561193296680975
seeded,0,exec,jpca,6,direction_consistency,1.0
seeded,0,exec,jpca,6,mean_tangling,0.10074055198766663
seeded,0,exec,jpca,6,shuffle_r2_mean,0.01575559208322088
seeded,0,exec,jpca,6,shuffle_r2_std,0.008455054438770388
seeded,0,exec,jpca,6,r2_above_shuffle,-0.013658664420885723
seeded,0,exec,jpca,10,r2_skew,0.028903296269313317
seeded,0,exec,jpca,10,r2_full,0.043226708270217795
seeded,0,exec,jpca,10,omega_rad_per_bin,0.02754835122732243
seeded,0,exec,jpca,10,freq_hz,0.43844562718600466
seeded,0,exec,jpca,10,direction_consistency,0.875
seeded,0,exec,jpca,10,mean_tangling,0.08932684066778589
seeded,0,exec,jpca,10,shuffle_r2_mean,0.07436125881595312
seeded,0,exec,jpca,10,shuffle_r2_std,0.020605225553194703
